2025-12-29T09:47:36.836Z INTEGRATIONTASK lead_gen:18 - POST 200 zoho.crm.getOrgVariable rt_ms=32
2025-12-29T09:47:36.869Z INVOKEURL lead_gen:164 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=5347
2025-12-29T09:47:42.248Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=2345
2025-12-29T09:47:44.597Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=24662
2025-12-29T09:48:09.264Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=24620
2025-12-29T09:48:33.888Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=24615
2025-12-29T09:48:58.506Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=20650
2025-12-29T09:49:19.160Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=24001
2025-12-29T09:49:43.165Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=20538
2025-12-29T09:50:03.707Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=2308
2025-12-29T09:50:06.021Z INVOKEURL lead_gen:483 - POST 200 https://api.perplexity.ai/chat/completions rt_ms=1889
